EQUIPE,JOGADOR,POSICAO,ID,Q,TEMPO,MOMENTO,DURACAO,FUNDAMENTO
Atlético-GO,Renato Kayzer,Atacante,46571529,21,2,3034,2,faltaCometida
Atlético-MG,Jair,Volante,46571523,16,2,3032,2,faltaRecebida
Atlético-MG,Junior Alonso,Lateral esquerdo,46571513,10,2,3029,2,passe
Atlético-MG,Réver,Zagueiro,46571491,11,2,3024,2,rebatida
Atlético-MG,Eduardo Sasha,Atacante,46571320,22,2,2971,2,passe
Atlético-GO,Gustavo Ferrareis,Meia,46571271,27,2,2958,2,faltaCometida
Atlético-GO,Dudu,Lateral direito,46571188,30,2,2938,2,passe
Atlético-GO,Éder Ferreira,Zagueiro,46571070,9,2,2903,2,rebatida
Atlético-MG,Junior Alonso,Lateral esquerdo,46571039,22,2,2893,2,passe
Atlético-GO,João Victor,Zagueiro,46570988,3,2,2872,2,rebatida
Atlético-GO,Gustavo Ferrareis,Meia,46570734,14,2,2805,2,passe
Atlético-GO,Dudu,Lateral direito,46570594,23,2,2771,2,faltaCometida
Atlético-GO,Dudu,Lateral direito,46570556,18,2,2765,2,perdaPosseDeBola
Atlético-MG,Guilherme Arana,Lateral esquerdo,46570360,13,2,2705,2,passe
Atlético-GO,Nicolas,Lateral esquerdo,46570262,13,2,2680,2,passe
Atlético-GO,Gustavo Ferrareis,Meia,46570249,19,2,2679,2,passe
Atlético-MG,Keno,Atacante,46569880,29,2,2567,2,perdaPosseDeBola
Atlético-GO,João Victor,Zagueiro,46569814,10,2,2553,2,passe
Atlético-GO,Jean,Goleiro,46569796,4,2,2549,2,passe
Atlético-GO,Éder Ferreira,Zagueiro,46569680,3,2,2515,2,rebatida
Atlético-MG,Alan Franco,Meia,46569626,30,2,2495,2,passe
Atlético-MG,Guga,Lateral direito,46569613,30,2,2486,2,passe
Atlético-MG,Guilherme Arana,Lateral esquerdo,46569585,20,2,2477,2,viradaDeJogo
Atlético-MG,Alan Franco,Meia,46569502,3,2,2445,2,rebatida
Atlético-GO,Oliveira,Zagueiro,46569378,21,2,2395,2,passe
Atlético-MG,Guga,Lateral direito,46569312,30,2,2375,2,passe
Atlético-GO,Nicolas,Lateral esquerdo,46569236,7,2,2354,2,drible
Atlético-GO,Gustavo Ferrareis,Meia,46569197,27,2,2345,2,passe
Atlético-GO,Janderson,Atacante,46569189,27,2,2342,2,passe
Atlético-MG,Junior Alonso,Lateral esquerdo,46569181,4,2,2341,2,rebatida
Atlético-MG,Alan Franco,Meia,46569110,12,2,2291,2,perdaPosseDeBola
Atlético-GO,Dudu,Lateral direito,46569096,12,2,2280,2,passe
Atlético-MG,Jair,Volante,46568568,22,2,2064,2,passe
Atlético-MG,Guilherme Arana,Lateral esquerdo,46568524,8,2,2045,2,passe
Atlético-MG,Guga,Lateral direito,46567952,17,2,1807,2,passe
Atlético-MG,Réver,Zagueiro,46567914,16,2,1793,2,passe
Atlético-MG,Junior Alonso,Lateral esquerdo,46567908,9,2,1791,2,passe
Atlético-MG,Guga,Lateral direito,46567884,6,2,1779,2,passe
Atlético-GO,Edson,Volante,46567701,7,2,1711,2,faltaCometida
Atlético-MG,Alan Franco,Meia,46567694,30,2,1707,2,faltaRecebida
Atlético-MG,Savarino,Meia,46567675,24,2,1703,2,passe
Atlético-MG,Junior Alonso,Lateral esquerdo,46567653,15,2,1695,2,passe
Atlético-MG,Everson,Goleiro,46567609,3,2,1684,2,passe
Atlético-GO,Gustavo Ferrareis,Meia,46567460,31,2,1637,2,passe
Atlético-GO,Nicolas,Lateral esquerdo,46567407,25,2,1624,2,passe
Atlético-GO,Chico,Meia,46567328,23,2,1595,2,passe
Atlético-GO,Chico,Meia,46567313,22,2,1591,2,passe
Atlético-MG,Jair,Volante,46567169,20,2,1554,2,passe
Atlético-MG,Keno,Atacante,46567116,26,2,1541,2,perdaPosseDeBola
Atlético-GO,Janderson,Atacante,46566951,29,2,1494,2,finalizacao
Atlético-GO,João Victor,Zagueiro,46566896,10,2,1481,2,defesa
Atlético-GO,Éder Ferreira,Zagueiro,46566614,3,2,1406,2,rebatida
Atlético-MG,Jair,Volante,46566541,21,2,1393,2,passe
Atlético-MG,Guilherme Arana,Lateral esquerdo,46566514,25,2,1388,2,passe
Atlético-MG,Savarino,Meia,46566369,24,2,1357,2,perdaPosseDeBola
Atlético-MG,Réver,Zagueiro,46566126,16,2,1292,2,passe
Atlético-GO,Oliveira,Zagueiro,46565943,27,2,1235,2,gol
Atlético-GO,Renato Kayzer,Atacante,46565919,34,2,1228,2,passe
Atlético-GO,Oliveira,Zagueiro,46565806,4,2,1188,2,faltaRecebida
Atlético-MG,Réver,Zagueiro,46565804,33,2,1187,2,faltaCometida
Atlético-MG,Junior Alonso,Lateral esquerdo,46565654,14,2,1131,2,passe
Atlético-MG,Réver,Zagueiro,46565148,18,2,1002,2,faltaRecebida
Atlético-GO,Gustavo Ferrareis,Meia,46565123,7,2,998,2,passe
Atlético-GO,Nicolas,Lateral esquerdo,46565108,3,2,994,2,rebatida
Atlético-MG,Keno,Atacante,46565100,31,2,992,2,drible
Atlético-MG,Guilherme Arana,Lateral esquerdo,46565080,25,2,988,2,passe
Atlético-MG,Réver,Zagueiro,46564913,16,2,952,2,passe
Atlético-MG,Réver,Zagueiro,46564880,15,2,947,2,passe
Atlético-MG,Guilherme Arana,Lateral esquerdo,46564595,13,2,887,2,passe
Atlético-GO,Gustavo Ferrareis,Meia,46564553,14,2,872,2,passe
Atlético-MG,Jair,Volante,46564497,16,2,855,2,faltaRecebida
Atlético-GO,Éder Ferreira,Zagueiro,46564197,3,2,773,2,rebatida
Atlético-MG,Réver,Zagueiro,46563880,10,2,692,2,passe
